dialog,image,k,blur,line,tamil_dialog
"Festival day. The chai flows, the customers flock...",Panel001.jpeg,8,3,5,"“பண்டிகை நாள். சாய் பாய்கிறது, வாடிக்கையாளர்கள் கூட்டம் …""'"
Chai! Chai! Chai!,Panel002.png,9,3,5,"""சாய்! சாய்! சாய்!"""
I’m a chai master now!,Panel003.png,9,3,5,"""நான் இப்போது சாய் மாஸ்டர்!"""
This is too good to be true.,Panel004.png,7,3,5,"""இது உண்மையாக இருக்க மிகவும் நல்லது."""
Look at us! We’re unstoppable!,Panel005.png,9,3,5,"""எங்களைப் பார்! நாங்கள் தடுக்க முடியாதவர்கள்!"""
"Okay, we’re a little stoppable...",Panel006.png,9,3,5,"""சரி, நாங்கள் கொஞ்சம் நிறுத்தலாம்..."""
"Excuse me, who’s running this stall?",Panel007.png,9,3,5,"""மன்னிக்கவும், இந்த கடையை யார் நடத்துகிறார்கள்?"""
Is it too late to run?,Panel008.png,9,3,5,"""ஓடுவதற்கு தாமதமாகிவிட்டதா?"""
Smile and serve chai. Maybe they’ll just buy a cup...,Panel009.png,9,3,5,"""சிரித்து சாயை பரிமாறவும். ஒருவேளை அவர்கள் ஒரு கப் வாங்குவார்கள்..."""
"On the house, officer?",Panel010.png,9,3,5,"""வீட்டின் மீது, அதிகாரி?"""
This isn’t authorized.,Panel011.png,8,3,5,"""இது அங்கீகரிக்கப்படவில்லை."""
It’s... uh... culturally enriching?,Panel012.png,9,3,5,"""அது... ஓ... கலாச்சார ரீதியாக வளப்படுத்துகிறதா?"""
We’re doomed.,Panel013.png,9,3,5,"""நாங்கள் அழிந்துவிட்டோம்."""
And that’s when things got... complicated.,Panel014.png,9,3,5,"""அப்போதுதான் விஷயங்கள் சிக்கலாயின."""
Rithwik Banala - 002371008,Panel015.png,7,3,5,Rithwik Banala - 002371008
