dialog,image,k,blur,line,tamil_dialog
"""A chai café! A place where culture and community collide!""",panel001.png,7,3,5,'ஒரு சாய் காபே! கலாசாரம் மற்றும் சமுதாயம் மோதும் இடம்!'
"""We can have Bollywood movie nights, fusion food, chai tastings!""",panel002.png,7,3,5,"நாம் பாலிவுட் திரைப்பட நெட்டிங்குகள், ஃப்யூஷன் உணவுகள், சாய் tasting கள் நடத்தலாம்!"
"""And we’ll be the stars! Everyone will love us!""",panel003.png,7,3,5,'நாங்கள் நட்சத்திரங்களாக இருக்கிறோம்! எல்லாரும் நம்மை காதலிக்கும்!'
"""It could be more than just a business. It could be a space for stories and sharing.""",panel004.png,7,3,5,'இது வெறும் ஒரு வியாபாரம் ஆகக் கூடாது. இது கதை மற்றும் பகிர்விற்கான இடமாக இருக்கலாம்.'
"""Their new plan takes root: a chai café that’s more than just chai.""",panel005.png,7,3,5,"அவர்களின் புதிய திட்டம் நிலத்தைப் பிடிக்கிறது: வெறும் சாய்க்கான மட்டுமல்ல, ஒரு சாய் காபே."
"""I can already see the headlines—‘Dev’s Chai Dreams’!""",panel006.png,7,3,5,'நான் இதற்கான தலைப்புகளை காண்கிறேன்—‘தேவ் இன் சாய் கனவுகள்’!'
"""Or ‘Dev’s Disaster Café’!""",panel007.png,7,3,5,'அல்லது ‘தேவ் இன் பேரழிவு காபே’!'
"""No, this time we’re doing it right. No fines. No running.""",panel008.png,7,3,5,'இப்போதைக்கு நாம் அதை சரியாக செய்வோம். எந்த அபராதமும் இல்லை. ஓடவில்லை.'
"""Good luck keeping Dev in line with that plan.""",panel009.png,7,3,5,'அந்த திட்டத்துடன் தேவனை கட்டுப்பாட்டில் வைத்திருக்க உங்கள் வாழ்த்துகள்.'
Ranjithnath Karunanidhi - 002317425,panel010.png,7,3,5,Ranjithnath Karunanidhi - 002317425
