dialog,image,k,blur,line,tamil_dialog
So... maybe we didn't think this through.,Panel001.png,7,3,5,'அப்படியெனில்... இந்த விஷயத்தை நாங்கள் நன்கு சிந்திக்கவில்லை என்று நினைக்கிறோம்.'
"It's okay, we've been banned from worse places!",Panel002.png,9,3,5,"இதில் ஏதும் தவறு இல்லை, நாம் கெட்ட இடங்களில் இருந்து தடுக்கப்பட்டுள்ளோம்!"
And this was our best idea yet? Yikes.,Panel003.png,6,3,5,'இதுதான் நம்முடைய சிறந்த யோசனைவா? அச்சுறுத்தல்.'
We need to stop chasing quick money and start thinking long-term.,Panel004.png,7,3,5,"எம்மால் உடனடி பணத்தை நோக்கி செல்ல வேண்டாம், நீண்ட காலத்திற்கான யோசனைகளை செய்ய வேண்டும்."
What do you mean?,Panel005.png,9,3,5,'அது என்ன என்று நீண்டது?'
"We're in this together, but maybe it's time to build something more... sustainable.",Panel006.png,6,3,5,"நாம் இதை ஒருங்கிணைத்திருக்கிறோம், ஆனால் இதற்கான சிக்கலான ஒரு விஷயம் கட்ட நேரம் வந்துவிட்டது."
Like something real. A place where we can celebrate our roots.,Panel007.png,7,3,5,'ஒரு உண்மையான இடம். எங்கள் மூலங்களை கொண்டாடக்கூடிய இடம்.'
You mean like... a chai empire?,Panel008.png,5,3,5,'நீங்கள் சென்னையில் ஒரு சாய் சாஹா என்றால்?'
"Not an empire, Dev. A community.",Panel009.png,6,3,5,"அது ஒரு சாஹா அல்ல, தேவ். அது ஒரு சமூகமாக இருக்க வேண்டும்."
Kaavya Loganathan - 002317475,Panel010.png,7,3,5,Kaavya Loganathan - 002317475
